Testing numbers_000001.png . . . 32223324 → 38227364 | 5/8 · 62.50% | [WRONG]
Testing numbers_000002.png . . . 210 → 210 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000003.png . . . 56962 → 56862 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000004.png . . . 60135407 → 63133207 | 5/8 · 62.50% | [WRONG]
Testing numbers_000005.png . . . 0222405 → 0262405 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000006.png . . . 36731097 → 36731048 | 6/8 · 75.00% | [WRONG]
Testing numbers_000007.png . . . 08114 → 06114 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000008.png . . . 997 → 983 | 1/3 · 33.33% | [WRONG]
Testing numbers_000009.png . . . 184427 → 188427 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000010.png . . . 97733 → 83333 | 2/5 · 40.00% | [WRONG]
Testing numbers_000011.png . . . 1421040 → 8421040 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000012.png . . . 51855557 → 58655553 | 5/8 · 62.50% | [WRONG]
Testing numbers_000013.png . . . 677273 → 623273 | 4/6 · 66.67% | [WRONG]
Testing numbers_000014.png . . . 854 → 884 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000015.png . . . 4662 → 4684 | 2/4 · 50.00% | [WRONG]
Testing numbers_000016.png . . . 024 → 034 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000017.png . . . 43386 → 83386 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000018.png . . . 371076 → 371086 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000019.png . . . 577266 → 577266 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000020.png . . . 9052932 → 7052332 | 5/7 · 71.43% | [WRONG]
Testing numbers_000021.png . . . 889980 → 087880 | 3/6 · 50.00% | [WRONG]
Testing numbers_000022.png . . . 1709426 → 1308426 | 5/7 · 71.43% | [WRONG]
Testing numbers_000023.png . . . 5962602 → 0862602 | 5/7 · 71.43% | [WRONG]
