Testing numbers_000001.png . . . 32223324 → 32223364 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000002.png . . . 210 → 210 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000003.png . . . 56962 → 56862 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000004.png . . . 60135407 → 60135207 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000005.png . . . 0222405 → 0242408 | 5/7 · 71.43% | [WRONG]
Testing numbers_000006.png . . . 36731097 → 36731042 | 6/8 · 75.00% | [WRONG]
Testing numbers_000007.png . . . 08114 → 08114 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000008.png . . . 997 → 982 | 1/3 · 33.33% | [WRONG]
Testing numbers_000009.png . . . 184427 → 184427 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000010.png . . . 97733 → 93233 | 3/5 · 60.00% | [WRONG]
Testing numbers_000011.png . . . 1421040 → 8421040 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000012.png . . . 51855557 → 58655553 | 5/8 · 62.50% | [WRONG]
Testing numbers_000013.png . . . 677273 → 627273 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000014.png . . . 854 → 854 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000015.png . . . 4662 → 4662 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000016.png . . . 024 → 024 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000017.png . . . 43386 → 83386 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000018.png . . . 371076 → 371026 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000019.png . . . 577266 → 577266 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000020.png . . . 9052932 → 7052332 | 5/7 · 71.43% | [WRONG]
Testing numbers_000021.png . . . 889980 → 387880 | 3/6 · 50.00% | [WRONG]
Testing numbers_000022.png . . . 1709426 → 1308426 | 5/7 · 71.43% | [WRONG]
Testing numbers_000023.png . . . 5962602 → 5962602 | 7/7 · 100.00% | [CORRECT]
